path, orbit, block, line, sample, lat, lon, an, ca, cf, rms, weight, npts, cloud, var
164, 88146, 8, 420, 1137, 74.253751, 198.849678, 15.609573, 14.987551, 17.533221, 5.807500, 1.000000, 4.000000, -1, 1.982390
164, 88146, 8, 421, 1137, 74.254468, 198.846388, 15.652567, 14.964504, 17.405220, 5.732222, 1.000000, 9.000000, -1, 2.099925
164, 88146, 8, 422, 1137, 74.256616, 198.836531, 15.735500, 14.886756, 17.533809, 4.948333, 1.000000, 6.000000, -1, 1.104331
164, 88146, 8, 423, 1137, 74.257691, 198.831608, 15.844568, 14.796031, 17.541264, 3.935000, 1.000000, 4.000000, -1, 0.348604
164, 88146, 8, 424, 1138, 74.260187, 198.820113, 15.941647, 14.835608, 17.595917, 3.572000, 1.000000, 5.000000, -1, 0.374881
164, 88146, 8, 425, 1138, 74.261076, 198.816006, 15.901601, 15.005351, 17.764533, 3.332000, 1.000000, 5.000000, -1, 0.357737
164, 88146, 8, 441, 1144, 74.287049, 198.695175, 15.361130, 13.858118, 17.685680, 5.494444, 1.000000, 9.000000, -1, 1.303876
164, 88146, 8, 442, 1144, 74.288636, 198.687772, 15.328616, 13.794087, 17.697521, 6.156667, 1.000000, 3.000000, -1, 0.508418
164, 88146, 8, 471, 1155, 74.336744, 198.461071, 13.666474, 13.682984, 17.361361, 6.215000, 1.000000, 2.000000, -1, 2.245000
164, 88146, 8, 472, 1155, 74.337097, 198.459388, 13.741029, 13.590129, 17.326755, 4.671111, 1.000000, 9.000000, -1, 2.237292
